‡T,‡U,‡V,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
-11,-16,-5,14,-3,-10,20,37,26,-4,-23,-30,
-10,-15,-5,13,-2,-10,20,38,28,-3,-23,-30,
-10,-15,-5,13,-2,-10,20,40,30,-1,-21,-30,
-9,-14,-5,12,-2,-9,21,41,33,0,-20,-30,
-8,-13,-5,11,-1,-9,21,43,35,1,-18,-29,
-7,-11,-4,9,-1,-7,22,45,37,3,-17,-29,
-7,-11,-4,9,-1,-7,22,46,39,5,-16,-28,
-7,-10,-3,9,-2,-6,22,48,41,6,-14,-28,
-6,-8,-2,7,-2,-5,22,50,44,8,-13,-27,
-5,-8,-3,7,-1,-5,23,52,45,9,-13,-26,
-5,-9,-4,7,0,-6,23,53,46,10,-12,-25,
-4,-8,-4,6,0,-6,23,55,49,13,-10,-23,
-3,-8,-5,6,1,-6,24,57,50,15,-8,-22,
-3,-7,-4,5,1,-5,25,58,51,17,-7,-20,
-3,-8,-5,6,1,-6,26,59,54,19,-5,-18,
-3,-7,-4,5,1,-5,27,61,56,22,-3,-17,
-1,-5,-4,3,2,-4,28,63,59,25,0,-16,
0,-3,-3,2,2,-3,29,65,62,27,1,-13,
1,-4,-5,2,3,-4,30,68,66,30,4,-11,
2,-3,-5,1,4,-4,30,69,69,31,6,-9,
5,0,-5,-2,5,-2,30,72,71,33,8,-8,
7,3,-4,-5,6,0,29,73,74,34,9,-7,
8,3,-5,-5,7,-1,29,75,76,37,12,-5,
9,5,-4,-7,7,1,29,77,79,40,15,-2,
12,8,-4,-10,8,2,29,78,82,44,19,0,
13,9,-4,-11,9,3,29,80,85,47,22,3,
15,11,-4,-13,10,4,30,81,88,50,25,5,
16,12,-4,-14,10,4,31,82,90,53,28,7,
17,13,-4,-15,11,5,31,83,91,55,31,8,
17,13,-4,-15,11,5,30,84,92,57,34,9,
18,14,-4,-16,11,5,30,86,94,59,38,11,
23,18,-5,-20,14,7,30,88,98,62,42,14,
23,18,-5,-20,14,7,31,88,100,64,44,17,
23,18,-5,-20,14,7,31,88,101,66,46,18,
24,20,-4,-22,14,8,29,87,103,68,49,20,
25,21,-4,-23,15,9,29,87,104,71,52,21,
25,24,-1,-24,13,12,29,88,105,74,54,23,
26,29,3,-27,12,16,27,87,106,76,57,24,
26,29,3,-27,12,16,27,87,107,77,59,26,
26,26,0,-26,13,13,27,87,110,78,61,28,
29,28,-1,-28,15,14,25,87,110,79,62,29,
31,33,2,-32,15,18,25,85,110,80,64,30,
33,37,4,-35,15,21,24,85,110,81,66,31,
32,38,6,-35,13,22,23,84,109,80,67,33,
32,37,5,-34,14,21,20,82,108,80,67,33,
33,38,5,-35,14,22,20,81,108,80,70,35,
34,38,4,-36,15,21,20,79,107,80,71,36,
34,38,4,-36,15,21,19,77,104,79,71,37,
34,38,4,-36,15,21,17,74,101,78,72,37,
32,38,6,-35,13,22,17,70,98,77,72,38,
31,38,7,-34,12,23,15,67,95,75,71,40,
31,40,9,-35,11,25,13,65,91,72,70,40,
29,39,10,-34,10,25,12,60,86,69,68,39,
27,38,11,-32,8,25,10,55,81,65,65,38,
26,37,11,-31,8,24,8,52,78,62,62,38,
25,34,9,-29,8,22,8,49,75,58,61,38,
23,30,7,-26,8,19,8,46,72,55,59,37,
22,30,8,-26,7,19,8,44,69,52,56,35,
22,29,7,-25,8,18,7,40,63,48,51,32,
20,29,9,-24,6,19,6,36,57,42,45,30,
19,29,10,-24,5,20,6,33,52,39,42,29,
21,30,9,-25,6,20,5,30,49,36,39,28,
16,25,9,-20,4,17,3,25,44,31,35,26,
10,19,9,-14,1,14,1,21,40,26,31,22,
10,20,10,-15,0,15,2,19,38,24,30,22,
10,18,8,-14,1,13,2,17,36,21,28,21,
7,15,8,-11,0,12,1,14,31,17,23,17,
4,15,11,-9,-3,13,-1,10,25,12,17,13,
4,14,10,-9,-3,12,-1,7,20,8,13,11,
5,13,8,-9,-1,11,-2,4,17,5,9,10,
5,13,8,-9,-1,11,-2,3,14,2,7,10,
3,12,9,-7,-3,11,-3,1,12,1,5,9,
1,10,9,-5,-4,10,-4,0,9,-1,4,7,
0,8,8,-4,-4,8,-4,-2,7,-3,1,5,
0,7,7,-3,-3,7,-5,-3,5,-5,0,3,
0,7,7,-3,-3,7,-4,-4,4,-7,-1,3,
0,6,6,-3,-3,6,-4,-6,2,-9,-3,2,
-2,5,7,-1,-4,6,-7,-10,0,-12,-7,1,
-3,4,7,0,-5,6,-7,-12,-2,-14,-9,1,
-4,3,7,1,-5,5,-8,-13,-3,-15,-10,-1,
-4,3,7,1,-5,5,-8,-15,-4,-16,-11,-3,
-7,1,8,3,-7,5,-8,-16,-6,-18,-12,-6,
-7,1,8,3,-7,5,-7,-16,-7,-20,-13,-5,
-6,1,7,3,-6,4,-7,-16,-8,-20,-14,-5,
-6,1,7,3,-6,4,-7,-17,-8,-20,-14,-4,
-7,0,7,4,-7,4,-7,-18,-10,-22,-17,-4,
-8,-2,6,5,-7,2,-8,-19,-11,-24,-18,-4,
-7,-1,6,4,-6,3,-8,-19,-11,-24,-18,-5,
-5,-1,4,3,-4,2,-9,-20,-12,-23,-18,-5,
-5,-2,3,4,-4,1,-9,-20,-12,-24,-19,-5,
-6,-4,2,5,-4,-1,-9,-20,-13,-25,-19,-4,
-7,-4,3,6,-5,0,-9,-21,-13,-25,-19,-4,
-7,-4,3,6,-5,0,-9,-21,-13,-25,-19,-3,
-7,-3,4,5,-5,1,-8,-21,-14,-25,-18,-3,
-7,-2,5,5,-6,2,-9,-21,-14,-26,-18,-3,
-7,-2,5,5,-6,2,-8,-22,-15,-26,-18,-2,
-7,-3,4,5,-5,1,-8,-23,-15,-26,-19,-2,
-8,-4,4,6,-6,0,-9,-23,-16,-27,-19,-2,
-7,-3,4,5,-5,1,-8,-23,-16,-27,-18,-2,
-7,-3,4,5,-5,1,-8,-23,-16,-27,-18,-1,
-8,-4,4,6,-6,0,-9,-23,-17,-28,-19,-2,
-8,-5,3,7,-5,-1,-9,-24,-17,-28,-19,-2,
-7,-3,4,5,-5,1,-8,-23,-16,-27,-18,-2,
-6,-1,5,4,-5,2,-8,-23,-15,-27,-18,-2,
-5,2,7,2,-6,5,-8,-22,-15,-26,-17,0,
-5,-2,3,4,-4,1,-8,-22,-14,-25,-16,0,
-5,-4,1,5,-3,-1,-7,-21,-13,-24,-16,1,
-6,-4,2,5,-4,-1,-7,-21,-13,-25,-17,0,
-9,-5,4,7,-6,0,-9,-23,-15,-26,-18,-1,
-7,-5,2,6,-4,-1,-9,-22,-15,-25,-17,0,
-6,-4,2,5,-4,-1,-8,-21,-14,-25,-17,1,
-7,-4,3,6,-5,0,-8,-22,-15,-26,-17,1,
-7,-4,3,6,-5,0,-9,-23,-15,-27,-17,1,
-8,-6,2,7,-5,-2,-9,-22,-15,-26,-19,1,
-10,-6,4,8,-7,-1,-9,-23,-15,-27,-19,1,
-9,-7,2,8,-5,-2,-9,-22,-14,-27,-20,0,
-8,-6,2,7,-5,-2,-8,-21,-14,-26,-20,0,
-8,-4,4,6,-6,0,-7,-21,-14,-27,-20,0,
-8,-4,4,6,-6,0,-7,-21,-14,-27,-19,0,
-8,-5,3,7,-5,-1,-8,-21,-15,-28,-21,0,
-7,-5,2,6,-4,-1,-8,-20,-14,-27,-21,-1,
-7,-5,2,6,-4,-1,-7,-19,-14,-27,-21,-2,
-8,-4,4,6,-6,0,-6,-19,-15,-28,-21,-1,
-6,-3,3,5,-4,0,-6,-18,-14,-27,-20,-1,
-4,-2,2,3,-3,0,-5,-17,-12,-26,-18,0,
-2,1,3,1,-2,2,-3,-16,-11,-25,-17,1,
-6,-1,5,4,-5,2,-3,-16,-11,-25,-18,-1,
-8,-3,5,6,-6,1,-3,-17,-11,-25,-19,-2,
-8,-4,4,6,-6,0,-3,-16,-11,-25,-20,-1,
-8,-4,4,6,-6,0,-2,-14,-10,-24,-20,-1,
-7,-5,2,6,-4,-1,-1,-13,-9,-23,-20,0,
-8,-5,3,7,-5,-1,-1,-13,-9,-24,-20,0,
-8,-6,2,7,-5,-2,-1,-12,-9,-24,-21,0,
-9,-6,3,8,-6,-1,-1,-12,-9,-24,-21,-1,
-8,-7,1,8,-4,-3,-1,-12,-9,-24,-22,-2,
-9,-6,3,8,-6,-1,-1,-13,-9,-24,-22,-3,
-8,-5,3,7,-5,-1,-1,-13,-9,-24,-21,-4,
-8,-3,5,6,-6,1,-2,-13,-8,-23,-22,-5,
-9,-3,6,6,-7,2,-1,-12,-8,-24,-22,-6,
-8,-3,5,6,-6,1,-1,-12,-8,-24,-22,-6,
-9,-3,6,6,-7,2,-1,-11,-8,-24,-22,-8,
-10,-5,5,8,-7,0,-1,-11,-8,-24,-23,-8,
-10,-4,6,7,-8,1,-1,-11,-8,-24,-23,-8,
-11,-4,7,8,-9,2,-1,-11,-8,-24,-23,-8,
-11,-4,7,8,-9,2,0,-10,-7,-24,-22,-9,
-11,-4,7,8,-9,2,0,-10,-6,-24,-22,-9,
-11,-4,7,8,-9,2,0,-10,-6,-23,-23,-9,
-9,-4,5,7,-7,1,-2,-10,-6,-22,-23,-9,
-8,-3,5,6,-6,1,-1,-9,-5,-21,-22,-9,
-2,2,4,0,-3,3,0,-8,-4,-20,-21,-8,
0,4,4,-2,-2,4,0,-8,-5,-20,-22,-9,
-4,0,4,2,-4,2,0,-10,-6,-21,-22,-11,
-6,-3,3,5,-4,0,0,-10,-5,-21,-21,-10,
-6,-3,3,5,-4,0,1,-9,-5,-20,-21,-9,
-4,0,4,2,-4,2,1,-9,-5,-20,-21,-9,
-5,-1,4,3,-4,2,1,-9,-4,-20,-22,-10,
-7,-2,5,5,-6,2,1,-8,-4,-19,-22,-10,
-7,-2,5,5,-6,2,2,-7,-4,-19,-22,-9,
-7,-1,6,4,-6,3,1,-7,-4,-19,-22,-10,
-10,-2,8,6,-9,3,-1,-8,-6,-21,-23,-10,
-12,-5,7,9,-9,1,-2,-9,-7,-21,-24,-12,
-10,-4,6,7,-8,1,-3,-10,-7,-22,-24,-12,
-9,-2,7,6,-8,3,-2,-11,-7,-21,-23,-11,
-8,-1,7,5,-7,3,-2,-11,-6,-20,-21,-10,
-8,-1,7,5,-7,3,-2,-10,-5,-20,-21,-10,
-10,-1,9,6,-9,4,-1,-11,-5,-19,-21,-9,
-10,-2,8,6,-9,3,-1,-10,-5,-19,-20,-9,
-10,-1,9,6,-9,4,0,-10,-5,-19,-20,-9,
-9,1,10,4,-9,6,0,-10,-6,-19,-21,-9,
-7,3,10,2,-8,7,1,-9,-5,-19,-21,-9,
-7,5,12,1,-9,9,1,-9,-5,-18,-19,-9,
-6,5,11,1,-8,8,1,-8,-4,-17,-18,-7,
-6,6,12,0,-9,9,1,-8,-4,-17,-17,-7,
-6,9,15,-1,-10,12,1,-8,-5,-16,-17,-6,
-6,10,16,-2,-11,13,1,-8,-4,-16,-16,-5,
-6,11,17,-2,-11,14,3,-7,-4,-16,-16,-5,
-5,11,16,-3,-10,14,2,-7,-3,-16,-16,-5,
-4,12,16,-4,-10,14,2,-7,-1,-15,-15,-4,
-3,14,17,-5,-10,16,2,-7,0,-14,-14,-3,
-1,15,16,-7,-8,16,3,-6,0,-13,-13,-2,
0,16,16,-8,-8,16,2,-6,0,-13,-13,-1,
0,18,18,-9,-9,18,2,-5,0,-12,-12,-1,
0,20,20,-10,-10,20,3,-4,1,-10,-11,-1,
1,23,22,-12,-10,23,2,-4,1,-10,-11,0,
1,26,25,-13,-12,26,1,-4,2,-9,-11,0,
2,27,25,-14,-11,26,0,-5,2,-8,-10,1,
4,29,25,-16,-10,27,-1,-6,3,-8,-8,2,
7,30,23,-18,-8,27,-2,-7,3,-8,-6,5,
12,29,17,-20,-2,23,-1,-7,4,-7,-3,8,
12,28,16,-20,-2,22,-3,-9,2,-8,-3,8,
10,28,18,-19,-4,23,-8,-13,0,-9,-5,7,
10,28,18,-19,-4,23,-11,-16,-2,-9,-4,7,
13,29,16,-21,-1,23,-12,-16,-2,-9,-4,9,
13,29,16,-21,-1,23,-12,-17,-2,-9,-4,9,
13,29,16,-21,-1,23,-12,-18,-3,-10,-5,9,
13,29,16,-21,-1,23,-13,-20,-5,-12,-5,8,
10,26,16,-18,-3,21,-15,-21,-8,-14,-8,7,
8,24,16,-16,-4,20,-16,-22,-10,-16,-8,7,
10,25,15,-17,-2,20,-17,-23,-10,-16,-8,7,
12,24,12,-18,0,18,-17,-24,-10,-17,-7,8,
13,24,11,-18,1,18,-18,-25,-10,-17,-8,8,
11,22,11,-16,0,17,-18,-26,-12,-18,-9,6,
11,20,9,-15,1,15,-18,-26,-12,-20,-9,5,
10,18,8,-14,1,13,-19,-27,-12,-20,-9,3,
9,16,7,-12,1,12,-17,-25,-11,-18,-9,4,
8,14,6,-11,1,10,-15,-25,-11,-18,-9,4,
5,12,7,-8,-1,10,-14,-24,-11,-18,-9,2,
2,9,7,-5,-2,8,-12,-24,-12,-20,-11,1,
-1,7,8,-3,-4,8,-11,-23,-12,-21,-13,0,
-3,7,10,-2,-6,9,-11,-23,-13,-22,-15,-2,
-4,5,9,0,-6,7,-11,-23,-14,-22,-15,-4,
-3,3,6,0,-4,5,-11,-23,-14,-23,-16,-5,
-6,1,7,3,-6,4,-11,-25,-15,-24,-18,-7,
-6,0,6,3,-6,3,-11,-25,-16,-26,-18,-7,
-6,-1,5,4,-5,2,-11,-27,-16,-27,-18,-8,
-6,-2,4,4,-5,1,-10,-27,-18,-29,-21,-11,
-6,-3,3,5,-4,0,-10,-27,-19,-29,-22,-12,
-6,-3,3,5,-4,0,-10,-26,-21,-31,-24,-13,
-6,-4,2,5,-4,-1,-10,-27,-21,-31,-25,-14,
-8,-6,2,7,-5,-2,-11,-28,-23,-32,-26,-15,
-9,-6,3,8,-6,-1,-10,-27,-23,-31,-27,-15,
-9,-8,1,9,-5,-3,-9,-26,-23,-31,-27,-14,
-10,-9,1,10,-5,-4,-10,-26,-24,-33,-26,-15,
-12,-11,1,12,-6,-5,-10,-28,-24,-33,-27,-18,
-12,-10,2,11,-7,-4,-11,-28,-24,-33,-27,-17,
-12,-10,2,11,-7,-4,-11,-27,-24,-33,-27,-17,
-13,-11,2,12,-7,-4,-12,-27,-23,-34,-28,-17,
-13,-12,1,13,-7,-5,-12,-27,-23,-34,-28,-17,
-13,-13,0,13,-6,-6,-11,-27,-24,-34,-30,-18,
-13,-14,-1,14,-6,-7,-12,-29,-24,-34,-30,-17,
-13,-14,-1,14,-6,-7,-12,-29,-23,-34,-30,-17,
-14,-13,1,14,-7,-6,-12,-28,-23,-35,-31,-18,
-14,-13,1,14,-7,-6,-13,-29,-23,-35,-31,-19,
-13,-13,0,13,-6,-6,-12,-29,-23,-34,-30,-18,
-13,-12,1,13,-7,-5,-11,-28,-22,-34,-28,-17,
-12,-12,0,12,-6,-6,-11,-27,-22,-33,-28,-17,
-13,-13,0,13,-6,-6,-11,-28,-22,-34,-28,-19,
-13,-13,0,13,-6,-6,-11,-28,-22,-35,-29,-19,
-14,-13,1,14,-7,-6,-11,-28,-23,-35,-30,-20,
-14,-13,1,14,-7,-6,-10,-27,-23,-34,-29,-19,
-13,-11,2,12,-7,-4,-10,-27,-22,-34,-29,-19,
-13,-11,2,12,-7,-4,-9,-26,-21,-34,-30,-20,
-12,-10,2,11,-7,-4,-8,-25,-20,-34,-30,-20,
-11,-10,1,11,-6,-4,-7,-25,-20,-34,-30,-20,
-13,-10,3,12,-8,-3,-8,-24,-20,-35,-31,-20,
-15,-11,4,13,-9,-3,-6,-23,-20,-35,-32,-23,
-17,-12,5,15,-11,-3,-3,-20,-18,-35,-33,-24,
-18,-13,5,16,-11,-4,2,-15,-17,-36,-35,-26,
-21,-16,5,19,-13,-5,9,-8,-15,-39,-41,-30,
-26,-17,9,22,-17,-4,20,4,-13,-43,-52,-37,
-34,-19,15,27,-24,-2,34,20,-11,-45,-67,-46,
-41,-22,19,32,-30,-1,48,38,-7,-46,-78,-53,
-46,-23,23,35,-34,0,61,52,-1,-47,-87,-59,
-48,-20,28,34,-38,4,70,66,6,-43,-89,-61,
-49,-20,29,35,-39,5,79,81,21,-36,-86,-60,
-44,-17,27,31,-35,5,89,102,43,-23,-78,-59,
-35,-11,24,23,-29,7,97,124,73,-1,-62,-52,
-18,0,18,9,-18,9,99,145,107,31,-33,-35,
2,16,14,-9,-6,15,96,154,134,68,6,-10,
24,34,10,-29,7,22,85,146,149,107,58,23,
51,58,7,-54,22,33,69,128,160,152,120,67,
79,85,6,-82,37,46,49,101,173,202,193,116,
104,111,7,-107,49,59,22,68,187,255,267,166,
131,139,8,-135,62,74,-10,27,199,303,339,213,
155,165,10,-160,73,88,-40,-13,211,344,401,252,
167,168,1,-167,83,85,-68,-52,223,375,446,279,
170,152,-18,-161,94,67,-96,-99,210,374,461,286,
169,120,-49,-144,109,36,-120,-147,167,329,435,270,
161,82,-79,-121,120,2,-126,-177,119,261,370,234,
145,54,-91,-99,118,-18,-126,-199,60,179,281,189,
118,33,-85,-75,102,-26,-126,-227,-31,70,177,143,
83,15,-68,-49,76,-26,-128,-265,-147,-61,68,98,
52,-2,-54,-25,53,-28,-134,-299,-236,-161,-16,58,
30,-13,-43,-8,37,-28,-137,-316,-279,-212,-71,23,
10,-19,-29,5,20,-24,-136,-318,-289,-227,-97,0,
-9,-23,-14,16,3,-18,-131,-312,-280,-225,-107,-17,
-25,-24,1,25,-13,-11,-124,-303,-266,-219,-113,-32,
-37,-26,11,32,-24,-7,-118,-291,-252,-213,-118,-45,
-43,-26,17,35,-30,-4,-111,-273,-235,-204,-118,-51,
-44,-21,23,33,-33,1,-102,-245,-213,-186,-115,-52,
-41,-15,26,28,-33,6,-91,-208,-181,-159,-106,-46,
-37,-10,27,24,-32,9,-78,-165,-145,-129,-93,-39,
-34,-6,28,20,-31,11,-63,-123,-112,-102,-81,-33,
-32,-5,27,19,-29,11,-46,-86,-84,-83,-70,-30,
-32,-6,26,19,-29,10,-32,-62,-64,-71,-61,-31,
-30,-6,24,18,-27,9,-20,-48,-50,-66,-54,-31,
-27,-4,23,16,-25,10,-14,-41,-40,-62,-50,-32,
-22,-2,20,12,-21,9,-10,-38,-32,-56,-46,-30,
-18,-1,17,10,-17,8,-6,-34,-24,-50,-43,-28,
-16,-5,11,11,-13,3,-4,-28,-20,-42,-42,-27,
-14,-6,8,10,-11,1,-2,-19,-16,-35,-42,-26,
-15,-6,9,11,-12,2,3,-9,-12,-29,-42,-26,
-19,-9,10,14,-14,1,6,-1,-10,-28,-42,-28,
-20,-11,9,16,-14,-1,9,4,-9,-29,-41,-30,
-21,-13,8,17,-14,-2,9,6,-8,-31,-40,-31,
-21,-12,9,17,-15,-1,10,5,-7,-33,-39,-32,
-20,-11,9,16,-14,-1,10,2,-5,-33,-39,-33,
-20,-13,7,17,-13,-3,9,0,-5,-34,-39,-33,
-21,-14,7,18,-14,-3,8,0,-4,-33,-39,-36,
-20,-13,7,17,-13,-3,8,1,-3,-31,-39,-35,
-19,-14,5,17,-12,-4,9,4,0,-30,-38,-35,
-18,-16,2,17,-10,-7,10,6,1,-28,-37,-35,
-19,-17,2,18,-10,-7,10,7,3,-27,-36,-35,
-20,-17,3,19,-11,-7,11,7,4,-26,-35,-35,
-19,-17,2,18,-10,-7,11,8,5,-26,-35,-35,
-19,-15,4,17,-11,-5,10,9,5,-26,-35,-34,
-18,-15,3,17,-10,-6,10,10,6,-26,-34,-34,
-17,-14,3,16,-10,-5,11,10,6,-25,-34,-34,
-17,-14,3,16,-10,-5,12,11,7,-25,-33,-34,
-17,-14,3,16,-10,-5,12,12,8,-25,-33,-34,
-17,-14,3,16,-10,-5,12,12,8,-24,-34,-34,
-17,-14,3,16,-10,-5,13,13,9,-23,-34,-34,
-17,-15,2,16,-9,-6,13,16,11,-21,-33,-33,
-15,-12,3,14,-9,-4,13,17,11,-21,-33,-32,
-15,-7,8,11,-11,1,14,17,11,-20,-32,-30,
-12,-4,8,8,-10,2,16,20,15,-17,-29,-28,
-12,-7,5,10,-8,-1,16,20,17,-18,-29,-28,
-15,-13,2,14,-8,-5,16,20,17,-19,-30,-28,
-14,-13,1,14,-7,-6,16,22,18,-17,-28,-27,
-12,-12,0,12,-6,-6,16,22,19,-17,-28,-26,
-12,-11,1,12,-6,-5,17,22,19,-17,-27,-26,
-13,-11,2,12,-7,-4,17,24,21,-16,-27,-25,
-13,-11,2,12,-7,-4,18,25,22,-15,-26,-24,
-14,-11,3,13,-8,-4,18,26,23,-15,-26,-24,
-13,-10,3,12,-8,-3,18,26,23,-15,-26,-25,
-12,-8,4,10,-8,-2,17,26,23,-14,-25,-26,
-12,-8,4,10,-8,-2,17,27,25,-12,-25,-25,
-12,-9,3,11,-7,-3,17,30,26,-12,-25,-25,
-13,-10,3,12,-8,-3,16,31,29,-11,-25,-25,
-12,-8,4,10,-8,-2,16,32,30,-10,-25,-25,
-12,-8,4,10,-8,-2,16,33,30,-9,-24,-24,
-10,-7,3,9,-6,-2,17,35,31,-8,-22,-24,
-9,-7,2,8,-5,-2,18,36,33,-6,-21,-24,
-11,-7,4,9,-7,-1,18,37,33,-5,-20,-24,
-10,-6,4,8,-7,-1,18,40,33,-3,-19,-24,
-9,-5,4,7,-6,0,19,41,34,-2,-17,-24,
-8,-5,3,7,-5,-1,19,43,35,0,-16,-23,
-7,-3,4,5,-5,1,21,44,36,1,-14,-23,
-4,-2,2,3,-3,0,22,45,38,3,-13,-22,
-5,-4,1,5,-3,-1,22,47,39,5,-12,-22,
-5,-5,0,5,-2,-2,22,49,40,6,-11,-21,
-4,-3,1,4,-2,-1,23,52,43,9,-10,-20,
-4,-3,1,4,-2,-1,23,52,43,9,-10,-19,
-5,-2,3,4,-4,1,23,54,44,11,-10,-19,
-2,-2,0,2,-1,-1,23,55,45,12,-8,-18,
1,0,-1,0,1,0,24,58,47,15,-6,-17,
1,0,-1,0,1,0,24,60,49,18,-4,-16,
1,0,-1,0,1,0,25,62,51,20,-3,-16,
1,0,-1,0,1,0,25,64,54,23,-1,-14,
0,0,0,0,0,0,26,66,56,25,0,-13,
2,2,0,-2,1,1,27,67,58,27,2,-11,
6,8,2,-7,2,5,28,70,60,28,4,-9,
8,12,4,-10,2,8,28,72,63,31,7,-7,
7,12,5,-9,1,9,28,74,65,32,9,-5,
7,10,3,-8,2,7,28,75,67,35,12,-3,
8,10,2,-9,3,6,29,78,70,38,15,-1,
8,9,1,-8,4,5,29,80,74,43,19,1,
9,10,1,-9,4,6,30,82,78,47,22,4,
11,14,3,-12,4,9,30,82,80,49,24,5,
13,16,3,-14,5,10,30,83,81,51,27,7,
15,14,-1,-14,8,7,30,83,83,53,29,8,
15,14,-1,-14,8,7,30,84,84,55,32,9,
16,16,0,-16,8,8,31,86,86,58,35,11,
18,19,1,-18,9,10,30,86,87,61,39,13,
20,22,2,-21,9,12,30,87,89,64,42,14,
21,24,3,-22,9,14,30,87,89,66,46,15,
21,25,4,-23,9,15,29,88,90,69,49,18,
23,28,5,-25,9,17,29,89,93,72,52,21,
25,29,4,-27,11,17,28,89,95,74,55,23,
28,31,3,-29,13,17,28,89,96,75,58,25,
31,35,4,-33,14,20,27,89,98,77,61,26,
32,37,5,-34,14,21,26,88,99,79,64,28,
29,34,5,-31,12,20,25,87,99,79,66,29,
31,33,2,-32,15,18,25,87,99,81,68,30,
33,36,3,-34,15,20,24,88,100,83,71,33,
33,36,3,-34,15,20,24,88,100,84,73,36,
33,36,3,-34,15,20,23,87,99,85,75,38,
36,37,1,-36,18,19,22,85,99,85,75,38,
33,34,1,-33,16,18,20,83,96,84,75,39,
31,31,0,-31,16,16,20,80,94,82,75,39,
30,30,0,-30,15,15,20,78,93,82,75,40,
29,29,0,-29,15,15,18,76,91,81,74,40,
29,31,2,-30,14,17,17,74,88,78,73,41,
29,32,3,-30,13,18,16,70,84,77,72,41,
29,30,1,-29,14,16,15,66,80,75,70,42,
29,29,0,-29,15,15,15,63,76,73,69,41,
28,28,0,-28,14,14,14,59,72,70,67,41,
28,29,1,-28,14,15,14,58,68,67,65,41,
29,30,1,-29,14,16,13,56,65,65,63,39,
23,25,2,-24,11,14,11,52,59,59,60,36,
20,20,0,-20,10,10,10,48,56,55,56,34,
21,21,0,-21,11,11,10,45,52,52,53,33,
20,19,-1,-19,11,9,10,41,46,48,49,31,
14,12,-2,-13,8,5,8,35,39,42,43,29,
11,10,-1,-10,6,5,7,31,33,38,38,26,
11,10,-1,-10,6,5,7,27,29,35,35,24,
12,11,-1,-11,7,5,6,26,25,31,31,22,
10,11,1,-10,5,6,6,23,22,28,28,20,
6,7,1,-6,3,4,4,21,18,24,24,18,
3,2,-1,-2,2,1,4,18,15,20,20,14,
3,1,-2,-2,3,0,3,16,12,16,17,12,
3,0,-3,-1,3,-1,3,14,7,13,15,10,
2,0,-2,-1,2,-1,3,11,2,10,13,9,
0,-2,-2,1,1,-2,2,8,-1,8,10,7,
-1,-4,-3,3,1,-3,1,5,-4,4,8,4,
-2,-5,-3,4,1,-4,0,3,-7,1,7,2,
-3,-7,-4,5,1,-5,1,2,-8,0,5,2,
-4,-7,-3,6,0,-5,1,0,-10,-2,2,0,
-5,-8,-3,7,-1,-5,0,-1,-11,-4,-1,0,
-5,-11,-6,8,1,-8,-2,-4,-12,-5,-3,0,
-5,-13,-8,9,2,-10,-2,-5,-14,-6,-3,0,
-6,-15,-9,11,2,-12,-2,-6,-16,-9,-4,-1,
-6,-16,-10,11,2,-13,-2,-8,-19,-11,-4,-2,
-7,-17,-10,12,2,-13,-2,-8,-21,-12,-6,-3,
-8,-20,-12,14,2,-16,-2,-9,-23,-13,-8,-2,
-8,-18,-10,13,1,-14,-2,-10,-23,-14,-9,-2,
-8,-17,-9,13,1,-13,-2,-12,-25,-14,-10,-3,
-7,-18,-11,13,2,-14,-2,-13,-26,-16,-10,-3,
-7,-18,-11,13,2,-14,-3,-14,-27,-17,-11,-4,
-7,-19,-12,13,3,-15,-3,-13,-27,-17,-11,-4,
-8,-20,-12,14,2,-16,-3,-13,-27,-17,-13,-5,
-9,-21,-12,15,2,-16,-4,-13,-27,-18,-13,-5,
-10,-21,-11,16,1,-16,-4,-15,-28,-18,-12,-5,
-10,-20,-10,15,0,-15,-4,-15,-28,-19,-12,-5,
-11,-19,-8,15,-1,-13,-4,-15,-28,-19,-12,-4,
-11,-20,-9,16,-1,-14,-4,-15,-28,-19,-10,-3,
-11,-22,-11,17,0,-16,-4,-16,-27,-19,-10,-2,
-13,-20,-7,17,-3,-13,-5,-17,-29,-21,-12,-2,
-12,-20,-8,16,-2,-14,-6,-18,-30,-21,-13,-3,
-12,-23,-11,18,0,-17,-6,-18,-30,-21,-13,-2,
-12,-22,-10,17,-1,-16,-6,-18,-30,-20,-13,-1,
-12,-21,-9,17,-1,-15,-5,-18,-30,-21,-13,-1,
-10,-22,-12,16,1,-17,-5,-17,-31,-21,-12,0,
-10,-22,-12,16,1,-17,-5,-17,-31,-20,-12,0,
-10,-23,-13,17,2,-18,-5,-17,-31,-20,-13,0,
-11,-24,-13,18,1,-18,-5,-17,-30,-20,-13,0,
-11,-24,-13,18,1,-18,-5,-17,-30,-19,-12,0,
-12,-23,-11,18,0,-17,-5,-16,-30,-20,-12,0,
-8,-19,-11,14,2,-15,-4,-16,-30,-20,-10,0,
-6,-16,-10,11,2,-13,-4,-16,-29,-19,-10,1,
-9,-20,-11,15,1,-15,-5,-17,-30,-22,-11,0,
-10,-21,-11,16,1,-16,-4,-17,-29,-22,-11,1,
-10,-21,-11,16,1,-16,-4,-16,-29,-21,-10,1,
-10,-21,-11,16,1,-16,-3,-15,-29,-20,-10,1,
-12,-22,-10,17,-1,-16,-3,-15,-29,-20,-11,2,
